Claim,Degree,Exact_statement,Evidence_label,Source_file,Passed_tests,Logical_assumptions,Remaining_risk
Five independent 6D trace invariants (Jacobian rank 5),6,Exact 5x20 Jacobian rank 5 over Q and three primes,REPRODUCED COMPUTATIONALLY WITH EXACT ARITHMETIC,FunctionalIndependence6D.wl / RESEARCH_LOGv4 Gate 3,5/5 Gate 3,Implemented contractions match (4.1)-(4.4),Does not prove ring generation/completeness
"6D connected graph counts (1,2,6,20)",2-8,Canonical connected 3-regular multigraphs,REPRODUCED COMPUTATIONALLY WITH EXACT ARITHMETIC,GraphEnumeration6D_FIXED.wl; Python tensor_invariants,Gate5 6/6; Python RERUN N<=6 + cached N=8,Weighted multigraph model,N=10 exact census not done in Python
"6D connected ranks (1,2,3,6)",2-8,Same-degree contraction ranks,REPRODUCED COMPUTATIONALLY WITH EXACT ARITHMETIC,GraphEnumeration6D_FIXED Gate5; Python SVD match,Gate5; Python outputs/6d/ranks.json,Finite exact samples in MMA,Upper bounds not symbolic
"6D new generators (1,2,1,1,0) degrees [2,4,4,6,8]",2-10,Product-quotient new generators,SUPPORTED ONLY BY FLOATING-POINT NUMERICS,Python generator_selection + outputs/6d,test_generator_counts_6d,SVD discovery backend,Not exact-arithmetic discovery; N=10 sampled
Appendix A relations (A.2)(A.4)(A.6),"6,8",Exact residuals 0 on 12 integer holdouts,FINITE-SAMPLE EVIDENCE ONLY,AppendixRelations6D.wl Gate4,7/7,Implemented X and x match paper,Not symbolic identity proof
Python syzygies 8 candidates,"6,8",Modular nullspace + fresh validation,SUPPORTED BY MODULAR COMPUTATION,outputs/6d/syzygies.json,test_syzygy_validation,FF identities on tested samples,Not matched to paper A.4/A.6 coefficients symbolically
10D ★^2=+1; 252/126,10,Self-dual real 5-form exists Lorentzian,REPRODUCED COMPUTATIONALLY WITH EXACT ARITHMETIC / strong computational (Python),TenDLorentzianFoundations_V2; Python self_duality,MMA 15 VT claimed; Python smoke True,"Conventions η,ε",Independent of invariant counts
Krull dimension 81,—,126-45=81 generic trivial stabilizer,STATED IN A CITED PRIMARY SOURCE,Cederwall et al. arXiv:2509.14350,TenDRepresentationTargets checks series conversion,Generic stabilizer argument,Not independently proved here
"Hilbert singlets deg4=1,6=2,8=7,10=14",4-10,LiE singlet dims Sym^n(126),STATED IN A CITED PRIMARY SOURCE,Cederwall Eq (4.2); TenDRepresentationTargets,9 VT claimed,"SO(10,C) chiral 126","May differ from real SO(1,9) metric-only graphs"
10D one degree-4 invariant I4=tr M^2,4,Exact span rank 1; graphs 21/5/4,FINITE-SAMPLE EVIDENCE ONLY / OBSERVED RUN,TenDDegree4Invariants_V4.wl,16 VT claimed,Metric-only; self-dual samples,Wolfram not rerun by auditor
10D two degree-6 invariants,6,Trace + N1050; 12043/54/49 graphs,FINITE-SAMPLE EVIDENCE ONLY / OBSERVED RUN,Degree6 modules Catalog_V2,VT claimed; catalog CSV exists,Missing ContractionPlanning file risk,Fitted relations not symbolic
10D seven degree-8 directions,8,"I4^2 + graphs 3,249,508,61,376,528",EXACT FINITE-SAMPLE INDEPENDENCE CERTIFICATE (claimed),TenDDegree8BasisValidation_V1,16 VT claimed; catalog exported,Not all 1753 graphs reduced,Completeness conditional on Hilbert 7
Burnside 1753 canonical / 45163496 labeled,8,Orbit census,REPRODUCED COMPUTATIONALLY WITH EXACT ARITHMETIC (claimed),TenDDegree8GraphEnumeration_V1 + Degree8CanonicalGraphKeys.wl,13 VT claimed,Burnside conjugacy classes,Checksum proves file identity not math completeness
Degree-10 product rank 2; target 12 new,10,"I4 I6^(1,2) span rank 2",FINITE-SAMPLE EVIDENCE ONLY if module run,TenDDegree10Foundations_V1.wl,16 VT designed,Depends on D6/D8 state in kernel,Graph enumeration NOT done; 12 gens NOT found
Python 10D generators,—,None discovered,UNRESOLVED,outputs/10d/generators.json,explore-10d smoke,—,Ladder not implemented
SO/epsilon reduction after F=*F,—,All SO invariants reduce to metric graphs,UNRESOLVED,Literature gate §5,Not computationally proved,Cederwall App C identities,Matching Hilbert 7 does not prove no epsilon-only invariants
Complete 81-parameter generating structure,—,Full Hironaka/HSOP for chiral 5-form,UNRESOLVED,—,—,—,Far beyond current computation
docs/invariants_78.json 78/81 claim,10,Legacy 78 primary invariants,CONJECTURAL / inconsistent with literature low-degree balances,MIT docs/invariants_78.json,Not in tensor_invariants path,Autonomous climb,Do not treat as validated
